# $Id$
#
# Cf. Pol Borads' mail, 13/12/2012 16:18
#
# Name			RA		Dec		z	2FGL name		Threshold(0=use the default threshold, which should be 1.e-6 ph cm^-2 s^-1)
# 
4U0115+634		019.632917	+63.740000	0	None			0
V0332+53		053.749542	+53.173222	0	None			0
XPer			058.846155	+31.045835	0	None			0
1A0535+26		084.727389	+26.315786	0	None			0
MXB0656-07		104.572042	-07.209778	0	None			0
1A1118-616		170.238396	-61.916747	0	None			0
GX304-1			195.321250	-61.601833	0	None			0
GROJ1744-28		266.137875	-28.740833	0	None			0
4U1907+09		287.407917	+09.830278	0	None			0
4U1909+07		287.700875	+07.597667	0	None			0
XTEJ1946+274		296.414000	+27.365417	0	None			0
KS1947+300		297.397875	+30.208833	0	None			0
EXO2030+375		308.063667	+37.637472	0	None			0
CepX-4			324.878000	+56.986114	0	None			0
#
LSI+61303		040.13193816	+61.22933651	0	_2FGLJ0240.5+6113	2e-6
HESSJ0632+057		098.246894	+05.800327	0	None			2e-6
VelaX-1			135.52858533	-40.55469537	0	None			0
1FGLJ1018.6-5856	154.675000	-58.938333	0	None			0
CenX-3			170.31575	-60.62297	0	None			2e-6
PSRB1259-63		195.698563	-63.835742	0	None			2e-6
CirX-1			230.170208	-57.166694	0	None			0
XTEJ1550-564		237.744458	-56.476472	0	None			0
ScoX-1			244.979446	-15.640283	0	None			0
4U1630-47		248.506708	-47.393000	0	None			0
GROJ1655-40		253.500571	-39.845806	0	None			0
GX339-4			255.705667	-48.789667	0	None			0
KS1731-260		263.556083	-26.088500	0	None			0
1E1740.7-2942		265.978458	-29.745167	0	None			0
H1743-322		266.565033	-32.233500	0	None			0
XTEJ1748-288		267.021083	-28.473833	0	None			0
GRS1758-258		270.301667	-25.743361	0	None			0
V4641Sgr		274.840125	-25.407167	0	None			0
LS5039			276.562738	-14.848406	0	_2FGLJ1826.3-1450	3e-6
SS433			287.956542	+04.982750	0	None			2.5e-6
GRS1915+105		288.798125	+10.945778	0	None			0
CygX-1			299.590316	+35.201605	0	None			1.5e-6
#
# SGR: Soft Gamma-ray Repeaters
SGR0526-66		081.50370833	-66.07675000  	0	None			0
SGR1627-41		248.96601667	-47.58980833	0	None			0
SGR1801-23		270.24583333	-22.94666667 	0	None			0
SGR1806-20		272.16387083	-20.41109444  	0	None			0
SwiftJ1822-1606		275.57500000	-16.07411111	0	None			0
SGR1833-0832		278.43491667	-08.51880833	0	None			0
SwiftJ1834.9-0846	278.71716667	-08.76554722	0	None			0
SGR1900+14		286.80970833	+09.32225000	0	None			0
#
# AXP: Anomalous X-ray Pulsars
CXOUJ010043.1-721134	015.17975000	-72.19272222 	0	None			0
1E1048.1-5937		162.52975000	-59.88927778 	0	None			0
1E1547.0-5408		237.72545833	-54.30658333	0	None			0
CXOUJ164710.2-455216	251.79250000	-45.87136111	0	None			0
RXJ170849.0-400910	257.19529167	-40.14790000	0	None			0
XTEJ1810-197		272.46283333	-19.73103889	0	None			0
1E1841-04.5		280.33059583	-04.93643333 	0	None			0
AXJ1845-0258		281.22783333	-02.94808333	0	None			0
